crop,region,price
wheat,north,2000
wheat,south,2200
wheat,east,2100
wheat,west,2300
rice,north,3000
rice,south,3200
rice,east,3100
rice,west,3300
maize,north,2500
maize,south,2600
maize,east,2550
maize,west,2700
cotton,north,4000
cotton,south,4200
cotton,east,4100
cotton,west,4300
sugarcane,north,3500
sugarcane,south,3600
sugarcane,east,3550
sugarcane,west,3700
barley,north,1800
barley,south,1900
barley,east,1850
barley,west,1950
soybean,north,2800
soybean,south,2900
soybean,east,2850
soybean,west,3000
pulses,north,3200
pulses,south,3300
pulses,east,3250
pulses,west,3400